Name,ShoppingList,Recipe,Tools,Credits
Sweet Potato Hash,"sweet potatoes, eggs","2 large sweet potato, cut into small cubes
2 tablespoons olive oil 
1 tablespoon paprika
1 teaspoon salt
1 teaspoon pepper
2 eggs

1. Preheat an air fryer to 375 degrees F.
2. Toss sweet potato, olive oil, paprika, salt, pepper in a large bowl. Place mixture into the preheated air fryer. Cook for 12 to 16 minutes. Check and stir after 10 minutes and then every 3 minutes until crispy and browned.
3. Cook eggs and combine.",air fryer,https://www.allrecipes.com/recipe/266541/air-fryer-sweet-potato-hash/
Salmon and Broccoli,"broccoli, salmon","1 large bunch broccoli
2 teaspoons soy sauce
1 pound salmon, skinned, patted dry and cut into bite-size pieces
2 cloves garlic, minced

1. Add 1/2 inch water to a large pan and bring to a boil over high heat. 
2. Add the broccoli, covering loosely to allow steam to escape, and cook for about 4 minutes. Drain and transfer to a plate.
2. Season the salmon with a pinch of salt and black pepper. Place the pan over medium-high heat and add 1 tablespoon cooking oil. Carefully add the salmon to the hot oil, reduce the heat to medium, and sprinkle in the garlic.
3. Cook, undisturbed until browned on the bottoms, and the sides of the salmon turn opaque, about 3 minutes. Pour in the soy sauce, and turn the salmon.
4. Add the broccoli and reduce the heat to medium-low. Cook until the salmon is cooked through, about 3 minutes. Spoon sauce over the salmon and broccoli and serve.",stove,https://www.foodnetwork.com/recipes/5-ingredient-salmon-and-broccoli-stir-fry-3414635
Roasted Chickpeas,"chickpeas, rice","1 can chickpeas, drained and rinsed
1 tablespoon canola or vegetable oil
1/2 teaspoon sea salt
1/2 teaspoon chili powder
1/2 teaspoon paprika

1. Preheat the air fryer to 380 for 10 minutes.
2. Dry the chickpeas thoroughly on a paper towels or a clean kitchen towel.
3. Combine the oil and spice mix in a bowl and whisk to combine. Gently incorporate the chickpeas until coated.
4. Transfer to the preheated air fryer and air fry for 8 to 10 minutes until crispy. Serve with rice.",air fryer,https://www.simplyrecipes.com/recipes/crispy_air_fryer_chickpeas/
Chicken and Veggies,"chicken, mixed vegetables","2 raw chicken breasts
1 tablespoon oil
1/4 teaspoon salt
1/8 teaspoon pepper
Rice or vegetables
3 Tbsp soy sauce
3 Tbsp water
2 Tbsp rice vinegar
2 Tbsp honey
1/2 Tbsp minced garlic
A few cracks ground black pepper

1. Preheat air fryer to 380 degrees.
2. Add oil, salt, garlic powder, and pepper to a bowl and mix. Coat the chicken breasts with oil on both sides and place in the air fryer, cooking for 10-15 minutes and flipping halfway. They are done when they hit 165 degrees internally. Let chicken rest for at least 5 minutes.
4. Slice rested grilled chicken breasts into long strips and either coat chicken entirely with sauce or pour the sauce over top of the chicken and serve with vegetables.",air fryer,https://www.everydayfamilycooking.com/air-fryer-pineapple-chicken/
Shrimp Nachos,"shrimp, Greek yogurt, tortilla chips","1 teaspoon olive oil
1 pound shrimp, peeled and deveined
1 teaspoon minced garlic
3/4 cup greek yogurt
green onions, sliced
1 bag tortilla chips
1 cup grated cheese

1. Heat oil in a skillet over medium heat. Add shrimp and garlic; saute 3 minutes or until shrimp are pink.
2. Combine cooked shrimp, yogurt, and green onions in a large bowl.
3. Spread tortilla chips on an aluminum foil-lined baking sheet. Top with shrimp mixture and sprinkle with cheese.
4. Broil 5 to 6 minutes from heat 2 minutes or until cheese melts. Serve immediately.",stove,https://spoonuniversity.com/recipe/nachos-recipe-with-shrimp-and-cheese
Egg Tortillas,"eggs, corn tortillas, onion","4 eggs
1/2 tablespoon chili powder
1/2 tablespoon garlic powder
1/4 teaspoon salt
1/2 tablespoon oil
4 corn tortillas
1/2 cup salsa
1 handful thinly sliced red onion
Hot sauce
Cilantro

1. In a medium bowl, whisk together the 4 eggs. Add the chili powder, garlic powder, and salt, and whisk until combined.
2. In a skillet, heat the olive oil. Add the eggs and cook over medium low heat, scraping as the eggs solidify, about 3 to 4 minutes total. As you scrape, it will start to form a meat-like texture.
3. Warm tortillas if needed.
4. Top with salsa, thin sliced red onions, cilantro, and hot sauce.",stove,https://www.acouplecooks.com/egg-tacos/
Beef Gnocchi,"gnocchi, onion, ground beef, tomato sauce","1 package gnocchi
1 large onion
6 cloves garlic
1 pound ground beef
1 jar marinara sauce (tomato paste and water)
4 tablespoons tomato paste
salt and pepper

1. Chop onion and garlic. Add to a pot with 1 tablespoon of olive oil. Saute until fragrant, stirring occasionally.
2. Add meat. Using a potato masher or a wooden spoon, break the meat up until there are no remaining chunks and stir until meat is completely browned.
3. Once meat is cooked through, add in tomato sauce. Stir to incorporate and bring to a boil. 
4. Once sauce reached a boil, add salt and pepper to taste, and stir to incorporate. Add gnocchi and let cook for at least 3 minutes. The longer it cooks, the more flavor is absorbed from the sauce. Serve and enjoy!",stove,https://www.kosher.com/recipe/gnocchi-with-meat-sauce-5745
Chicken Salad,"chicken, corn, black beans, onion, Greek yogurt","1 lb. shredded chicken 
1 cup sweet corn
1 cup can black beans, drained and rinsed
1/2 cup red onion, finely diced
1/4 cup fresh cilantro, chopped
1/2 cup nonfat Greek yogurt
2 tablespoons lime juice
1/2 teaspoon chili powder
1/4 teaspoon salt
2 teaspoons hot sauce

1. Place shredded chicken, sweet corn, black beans, red onion, fresh cilantro, and red pepper into a large bowl. Mix and set aside.
2. Create the sauce by mixing together Greek yogurt, lime juice, cumin, chili powder, salt, and hot sauce.
3. Add sauce to the shredded chicken mixture and mix until combined.",,https://fitfoodiefinds.com/southwest-chicken-salad/
Beef Noodles,"whole wheat egg noodles, ground beef","1/4 cup chili garlic sauce (sriracha, honey, garlic powder)
1/4 cup soy sauce
1/2 lb. ground beef
2 3oz. packages noodles
3 green onions, sliced

1. Combine the chili garlic sauce and soy sauce in a bowl.
2. Add the ground beef to a skillet and cook over medium heat until it is fully browned. Once browned, add the prepared sauce. Allow the beef to simmer in the sauce for another 5 minutes, or until the sauce has reduced by half.
3. While the beef is browning, begin boiling water for your noodles. Once boiling, add your noodles and cook according to the package directions. Drain the noodles.
4. Once the sauce has reduced and the noodles have drained, add the noodles to the skillet and toss until everything is combined and coated in sauce. Top with sliced green onions and serve!",stove,https://www.budgetbytes.com/pork-peanut-dragon-noodles/
Beef Cabbage Stir Fry,"cabbage, carrots, ground beef","2 Tbsp soy sauce 
1 Tbsp sriracha 
1/2 head green cabbage 
2 carrots 
1/2 Tbsp oil 
1/2 lb. ground beef 
2 cloves garlic
Pinch of salt and pepper 

1. Prepare the stir fry sauce first. In a small bowl stir together the soy sauce and sriracha. Set the sauce aside. 
2. Shred the vegetables so they are ready to go when you need them. Cut one small cabbage in half, remove the core, and then finely shred the leaves of one half the cabbage (4-6 cups once shredded, save the other half for another recipe).
3. Peel two carrots, then use a cheese grater to shred them (1 cup shredded). Slice three green onions. Mince two cloves of garlic. 
4. Heat a large skillet over medium heat. Once hot add the cooking oil, ground beef, garlic, and a pinch of salt and pepper. Cook the beef until browned (about five minutes). 
5. Add the cabbage and carrots to the skillet and continue to stir and cook until the cabbage is slightly wilted (or fully wilted, if you prefer). Stir in the prepared sauce and the green onions. Top with a drizzle of sriracha, then serve.",stove,https://www.budgetbytes.com/beef-cabbage-stir-fry/
Burrito Bowl,"black beans, ground beef","2 cups rice 
1/2 tsp salt 
2 cans black beans 
1/4 tsp garlic powder 
1 16oz. jar salsa 
6 oz. shredded cheese 
1 bunch green onions 
2 cups ground beef 

1. Cook rice in rice cooker. 
2. While the rice is cooking, make the beans. Add both cans of black beans (undrained) to a small sauce pot, along with the garlic powder. Heat over medium, stirring often, until heated through. 
3. Once the rice is cooked, build the bowls. Add one cup cooked rice, 1 cup ground beef, 1/2 cup warm black beans, 1/3 cup salsa, and 1 oz. shredded cheese to each bowl. Top with a few sliced green onions and serve.",stove,https://www.budgetbytes.com/poor-mans-burrito-bowls/
